,objectid,plant_code,plant_name,utility_id,utility_name,sector_name,street_address,city,county,state,zip,primsource,source_desc,tech_desc,install_mw,total_mw,bat_mw,bio_mw,coal_mw,geo_mw,hydro_mw,hydrops_mw,ng_mw,nuclear_mw,crude_mw,solar_mw,wind_mw,other_mw,source,period,longitude,latitude
0,11570,1,Sand Point,63560,"TDX Sand Point Generating, LLC",Electric Utility,100 Power Plant Way,Sand Point,Aleutians East,Alaska,99661.0,petroleum,"Petroleum = 1.3 MW, Wind = 0.4 MW",Petroleum Liquids; Onshore Wind Turbine;,3.7,1.7,,,,,,,,,1.3,,0.4,,"EIA-860, EIA-860M and EIA-923",202305,-160.497222,55.339722
1,11571,2,Bankhead Dam,195,Alabama Power Co,Electric Utility,19001 Lock 17 Road,Northport,Tuscaloosa,Alabama,35476.0,hydroelectric,Hydroelectric = 53 MW,Conventional Hydroelectric,53.9,53.0,,,,,53.0,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-87.356823,33.458665
2,11572,3,Barry,195,Alabama Power Co,Electric Utility,North Highway 43,Bucks,Mobile,Alabama,36512.0,natural gas,"Coal = 1118.5 MW, Natural Gas = 1296.2 MW",Conventional Steam Coal; Natural Gas Fired Combined Cycle; Natural Gas Steam Turbine,2569.5,2414.7,,,1118.5,,,,1296.2,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-88.0103,31.0069
3,11573,4,Walter Bouldin Dam,195,Alabama Power Co,Electric Utility,750 Bouldin Dam Road,Wetumpka,Elmore,Alabama,36092.0,hydroelectric,Hydroelectric = 224.1 MW,Conventional Hydroelectric,225.0,224.1,,,,,224.1,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-86.283056,32.583889
4,11574,9,Copper,5701,El Paso Electric Co,Electric Utility,651 Hawkins Blvd.,El Paso,El Paso,Texas,79915.0,natural gas,Natural Gas = 63 MW,Natural Gas Fired Combustion Turbine,86.9,63.0,,,,,,,63.0,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-106.375,31.7569
5,11575,10,Greene County,195,Alabama Power Co,Electric Utility,Highway 43,Demopolis,Greene,Alabama,36732.0,natural gas,Natural Gas = 1256.1 MW,Natural Gas Fired Combustion Turbine; Natural Gas Steam Turbine;,1288.4,1256.1,,,,,,,1256.1,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-87.7811,32.6017
6,11576,11,H Neely Henry Dam,195,Alabama Power Co,Electric Utility,1021 Ala Highway 144,Ohatchee,Calhoun,Alabama,36271.0,hydroelectric,Hydroelectric = 71.1 MW,Conventional Hydroelectric,72.9,71.1,,,,,71.1,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-86.0524,33.7845
7,11577,12,Holt Dam,195,Alabama Power Co,Electric Utility,12117 Power Plant Road,Tuscaloosa,Tuscaloosa,Alabama,35476.0,hydroelectric,Hydroelectric = 48 MW,Conventional Hydroelectric,46.9,48.0,,,,,48.0,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-87.4495,33.2553
8,11578,13,Jordan Dam,195,Alabama Power Co,Electric Utility,6150Jordan Dam Lane,Wetumpka,Elmore,Alabama,36092.0,hydroelectric,Hydroelectric = 129.2 MW,Conventional Hydroelectric,100.0,129.2,,,,,129.2,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-86.2548,32.6189
9,11579,14,Logan Martin Dam,195,Alabama Power Co,Electric Utility,299 Logan Martin Road,Vincent,Talladega,Alabama,35178.0,hydroelectric,Hydroelectric = 129 MW,Conventional Hydroelectric,128.1,129.0,,,,,129.0,,,,,,,,"EIA-860, EIA-860M and EIA-923",202305,-86.337547,33.425878
